50000	3.110278	0.000813	0.009196
100000	11.893487	0.001755	0.021128
150000	25.456257	0.002103	0.028548
200000	44.669	0.002806	0.040344
250000	69.268563	0.003083	0.050233
300000	99.340144	0.003788	0.059427
350000	136.17667	0.00417	0.114261
400000	175.706162	0.005242	0.082043
450000	234.390155	0.0058	0.090601
500000	292.655435	0.006836	0.103087
550000	347.68982	0.007054	0.107462
600000	413.174096	0.007463	0.12593
650000	517.417381	0.008841	0.15235
700000	543.815093	0.008741	0.133148
750000	614.495079	0.054733	0.168958
800000	797.882138	0.013542	0.208404
850000	879.946163	0.011565	0.176475
900000	952.411496	0.011584	0.181283
950000	1055.997171	0.011742	0.198085
1000000	1092.611127	0.027034	0.206465

