1000	0.200000
2000	0.233000
3000	0.245000
4000	0.267000
5000	0.297000
6000	0.285000
7000	0.299000
8000	0.282000
9000	0.321000
10000	0.301000
11000	0.291000
12000	0.300000
13000	0.311000
14000	0.311000
15000	0.319000
16000	0.321000
17000	0.324000
18000	0.331000
19000	0.332000
20000	0.336000
21000	0.345000
22000	0.342000
23000	0.334000
24000	0.362000
25000	0.351000
26000	0.363000
27000	0.359000
28000	0.368000
29000	0.368000
30000	0.367000
31000	0.380000
32000	0.378000
33000	0.381000
34000	0.383000
35000	0.387000
36000	0.389000
37000	0.373000
38000	0.397000
39000	0.378000
40000	0.381000
41000	0.390000
42000	0.384000
43000	0.396000
44000	0.389000
45000	0.378000
46000	0.389000
47000	0.383000
48000	0.387000
49000	0.390000
